Title Searched,Year Searched,Director Searched,Publication,Score,Critic,Snippet,Date Written
EEPHUS,2024,Carson Lund,Screen Daily,80,Tim Grierson,"Baseball is just a game, but Lund recognises why some need it so badly. On the diamond, these ageing men feel young again – if only for a few hours.","May 21, 2024"
EEPHUS,2024,Carson Lund,Collider,80,Caleb Hammond,"Eephus delivers an experience that lingers, successfully capturing a deeper melancholy that can’t be shaken.","Jun 12, 2024"
EEPHUS,2024,Carson Lund,The New Yorker,80,Richard Brody,"In presenting the game, Lund develops a passionately analytical aesthetic of baseball that offers a corrective to the way it’s usually depicted. His documentary-based method, in rejecting the patterned routines of television coverage, intensifies the drama of the sport itself.","Mar 7, 2025"
EEPHUS,2024,Carson Lund,Slate,80,Dan Kois,It’s all so pleasantly familiar I might as well have been hanging out with these guys for years.,"Mar 7, 2025"
EEPHUS,2024,Carson Lund,Paste Magazine,76,Brianna Zigler,"The “Eephus” pitch is an apt characterization for the film that now shares its name, an odd, surprising story about a baseball game with seemingly little to no stakes, that continues on for long after it should’ve already ended.","Oct 2, 2024"
EEPHUS,2024,Carson Lund,Slant Magazine,75,Jake Cole,"Carson Lund treats the power of a shared interest with profound, elegiac empathy.","Jul 2, 2024"
EEPHUS,2024,Carson Lund,The Associated Press,75,Jake Coyle,To call this a field of dreams would be pushing it. But it’s a lovely way to pass some time.,"Mar 6, 2025"
EEPHUS,2024,Carson Lund,Boston Globe,75,Odie Henderson,"Lund has crafted a good-natured hangout movie that tells the story of one final game at Soldiers Field, a New Hampshire-set diamond slated for demolition the following day.","Mar 13, 2025"
EEPHUS,2024,Carson Lund,Chicago Tribune,75,Michael Phillips,"Places come; places go. Every human being deals with loss differently. “Eephus” acknowledges that, but it’s a sweet, sidewinding paradox of a sports movie: sentimental in a quietly unsentimental and offhandedly comic fashion.","Mar 20, 2025"
EEPHUS,2024,Carson Lund,The Hollywood Reporter,70,Jordan Mintzer,"Eephus isn’t exactly a baseball movie — it’s something closer to movie-baseball, where characters endlessly jostle back and forth under no real time constraints, watching the day slowly pass them by, simply out of love for the sport.","May 21, 2024"
EEPHUS,2024,Carson Lund,RogerEbert.com,63,Peyton Robinson,"The pacing works referentially to its namesake and real-time ambition, but the characters aren’t quite interesting or engaging enough to sustain attention for the whole runtime, and the film’s crawl eventually wears on weary knees.","Mar 7, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,New York Post,100,Johnny Oleksinski,"Directed by James Griffiths, this is the sort of hilarious heart-warmer that only comes around once or twice a year to offer a blessed break from darkness, snobbery and streaming schlock. It’s so easy to love, even if love doesn’t come easy for its characters.","Jan 30, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,Christian Science Monitor,100,Peter Rainer,"The Ballad of Wallis Island is both modest and magical. One of its co-stars, Carey Mulligan, has described its tone as a “gentle euphoria.” That phrase perfectly expresses how this wonderful movie – directed by James Griffiths from a script by Tom Basden and Tim Key – transports us.","Mar 26, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,The Associated Press,100,Lindsey Bahr,"The Ballad of Wallis Island is the kind movie that makes it all look so easy — filmmaking, performance, mood, chemistry. It’s not going to dominate any cultural conversations, and probably won’t go the awards route, but it’ll touch your soul if you let it.","Mar 26, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,Los Angeles Times,100,Amy Nicholson,"I’d call “Wallis Island” a contender for the most quotable film of the year but there are so many good lines stacked on top of each other, and so much giggling on top of that, it’s impossible to keep up with Key’s wordplay.","Mar 28, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,Variety,90,Tomris Laffly,"Alive with plenty of droll British humor and with a music-filled, picturesque finale that is sincerely earned, The Ballad of Wallis Island is the best kind of crowd-pleaser: disarming, joyful and full of compassion for its oddball characters. This Sundance charmer doesn’t hit a false note.","Jan 28, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,Wall Street Journal,90,Kyle Smith,"Directed by James Griffiths, “Wallis Island” is warm, endearing and very funny, a quintessential indie smile-maker about nice, humble people adorably stumbling their way toward a little happiness.","Mar 27, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,The Playlist,83,Marshall Shaffer,"Everyone involved might not get the exact arrangement they imagined, but the outcome is still magical in its own way.","Feb 3, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,The Hollywood Reporter,80,David Rooney,"The Ballad of Wallis Island breaks no new ground, but it’s an unexpectedly pleasurable, funny-sad watch, full of sweet, soothing music.","Feb 5, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,Collider,80,Anna Miller,"Distancing itself from clichés in the name of honesty and earnestness, the charming British dramedy showcases the whole gamut of human relationships but takes tender care to highlight the good. The performances are delightfully honest, its cinematography is visually stunning and immersive, and the tale it tells is one of forgiveness and letting go – one that highlights the power of being gentle to one another.","Feb 6, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,The Film Stage,75,Kent M. Wilhelm,"The Ballad of Wallis Island doesn’t deliver any revelatory perspective on the idea of moving on, nor is it trying to. It’s a crowd-pleasing adult comedy that manages to be sentimental without being cloying, sweet without being saccharine.","Jan 27, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,IndieWire,75,Kate Erbland,"The result is a cozy crowdpleaser with real heart and some lovely songs, and one that doesn’t trade honesty for predictable beats.","Jan 27, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,RogerEbert.com,75,Robert Daniels,"The film bewitches you with its seemingly spontaneous humor, a cadre of original soulful folk tunes, and its adoration of the breathtaking surroundings.","Jan 27, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,Slant Magazine,75,Derek Smith,"The Ballad of Wallis Island plays both its drama and comedy in decidedly minor keys, straining neither for grand emotional revelations nor big laughs.","Mar 8, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,Observer,75,Oliver Jones,"A carefully considered mix of humor and melancholy glows in the fragile sunshine that bathes an isolated Welsh coastline in The Ballad of Wallis Island, a wan yet affecting consideration of lost love, forgotten bands and the odd ways those entities manifest themselves in our hearts and on our turntables.","Mar 28, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,Screen Daily,70,Amber Wilkinson,"While audiences will probably expect to laugh, they may be surprised to find themselves shedding a tear or two as well.","Jan 27, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,Screen Rant,70,Graeme Guttmann,"The Ballad of Wallis Island is effortless in its execution and breezy in its pacing, which makes its emotional undertones all the more surprising and affecting.","Jan 27, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,The A.V. Club,67,Jacob Oller,"This fable’s push to meet, then fix, your heroes can still sound as saccharine as a solo acoustic set, but it’s smart enough to undercut itself early and often.","Mar 26, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,The New York Times,50,Jeannette Catsoulis,"Bereft of chuckles or even a substantial story, this maudlin musical fable never escapes the drag of a lead character with supporting-player energy.","Mar 27, 2025"
THE BALLAD OF WALLIS ISLAND,2025,James Griffiths,TheWrap,30,Chase Hutchinson,"It’s a cute premise that ultimately gets wrung so dry that you’re left waiting for it to finally stop. The majority of its jokes either land flat or are run into the ground. Even worse, it pulls on the heartstrings with such force and impatience that the audience manipulation is palpable in every painfully predictable scene.","Jan 27, 2025"
OUT OF SIGHT,1998,Steven Soderbergh,Newsweek,100,David Ansen,"Lucky for us there are no ordinary circumstances in this smart, tasty adaptation of the Elmore Leonard novel and it gets quirkier, funnier and sexier as it goes.",
OUT OF SIGHT,1998,Steven Soderbergh,The New Republic,100,Stanley Kauffmann,One other element helps Out of Sight tremendously: the editing. [3 Aug 1998],
OUT OF SIGHT,1998,Steven Soderbergh,Washington Post,100,Stephen Hunter,"In some ways Soderbergh does a much better job than Tarantino. He handles the time shifts more adroitly, always keeping us on track; he goes easy on the violence, and when he does unleash it, it's short, fast and ugly.",
OUT OF SIGHT,1998,Steven Soderbergh,San Francisco Chronicle,100,Mick LaSalle,"[Soderbergh] plays with time and narrative to reveal character, mood and longing in ways you just don't find in a mainstream crime picture.",
OUT OF SIGHT,1998,Steven Soderbergh,New Times (L.A.),100,Michael Sgragow,"The audience responds to Out of Sight the way Jack and Karen do to each other. Instantly we like the way it looks, moves, and sounds. Ultimately we like how it makes us feel.",
OUT OF SIGHT,1998,Steven Soderbergh,L.A. Weekly,100,Manohla Dargis,"This isn't a profound film, or even an important one, but then it isn't trying to be. It's so diverting and so full of small satisfying pleasures, you don't realize how good it is until it's over.",
OUT OF SIGHT,1998,Steven Soderbergh,Variety,100,Emanuel Levy,"Reveals Soderbergh in peak form, as he endows Leonard’s postmodern yarn with a meticulously detailed mise en scene that helps each member of his terrific ensemble soar.",
OUT OF SIGHT,1998,Steven Soderbergh,The New York Times,100,Janet Maslin,The film's sleek moodiness and visual sophistication are so effective that there's even a scene here that makes Detroit look like the most romantic city in the world.,
OUT OF SIGHT,1998,Steven Soderbergh,Los Angeles Times,100,Kenneth Turan,Engaging and consummately entertaining.,
OUT OF SIGHT,1998,Steven Soderbergh,The A.V. Club,90,Keith Phipps,"Works both as a great romance and a great, unconventional crime thriller. But step back from such distinctions, and it just looks like a great movie.",
OUT OF SIGHT,1998,Steven Soderbergh,Slate,90,David Edelstein,"Soderbergh contrives the perfect voice for Leonard's prose--laid-back and grooving when it needs to be, but also taut, with the eerie foreboding of violence about to erupt.",
OUT OF SIGHT,1998,Steven Soderbergh,Washington Post,90,Michael O'Sullivan,Jack is just one of a dozen enormously appealing personalities in Out of Sight.,
OUT OF SIGHT,1998,Steven Soderbergh,Time,90,Richard Schickel,"What makes this movie work is the kind of cool that made Get Shorty go so nicely: an understanding that life's little adventures rarely come in neat three-act packages, the way most movies now do, and the unruffled presentation of outrageously twisted dialogue, characters and situations as if they were the most natural things in the world.",
OUT OF SIGHT,1998,Steven Soderbergh,ReelViews,88,James Berardinelli,"Everything in Out of Sight is smart -- the dialogue, the characters, and the storyline.",
OUT OF SIGHT,1998,Steven Soderbergh,Chicago Tribune,88,Michael Wilmington,"It's a nice mix, an elegantly smoky and dangerous cocktail -- just like the old noirs, but in a more modern, shinier glass. And since the basic brew is Elmore Leonard's, it tickles as it goes down. [26 June 1998]",
OUT OF SIGHT,1998,Steven Soderbergh,Chicago Sun-Times,88,Roger Ebert,"The first film to build on the enormously influential ""Pulp Fiction"" instead of simply mimicking it. It has the games with time, the low-life dialogue, the absurd violent situations, but it also has its own texture.",
OUT OF SIGHT,1998,Steven Soderbergh,New York Daily News,88,Dave Kehr,"When boy meets girl in Steven Soderbergh's jaunty, sexy Out of Sight, it happens with a bang.",
OUT OF SIGHT,1998,Steven Soderbergh,The Globe and Mail (Toronto),88,Rick Groen,"Undoubtedly, [the lead actors] both benefit hugely from the sharpness of Leonard's stock-in-trade dialogue: Put smart words in any actor's yap, and their performance will rise accordingly.",
OUT OF SIGHT,1998,Steven Soderbergh,Entertainment Weekly,83,Owen Gleiberman,"Lopez, for all her Latina-siren voluptuousness, has always projected a contained coolness, and this is the first movie in which it fully works for her.",
OUT OF SIGHT,1998,Steven Soderbergh,Film.com,80,Tom Keogh,"Soderbergh appreciates the value of having fun with a so-so script, turning its cliches into fresh experiences and infusing energy into the margins of a predictable story.",
OUT OF SIGHT,1998,Steven Soderbergh,Salon,80,Charles Taylor,"What makes ""Out of Sight"" a grown-up treat is that the mixture of lust and longing is as flawlessly proportioned as the ingredients in a perfect cocktail.",
OUT OF SIGHT,1998,Steven Soderbergh,Film.com,80,John Hartl,Quite a spicy brew.,
OUT OF SIGHT,1998,Steven Soderbergh,Austin Chronicle,78,Marc Savlov,"Hardly a serious caper film, Out of Sight instead takes a lighter approach, effortlessly offering up as many unexpected chuckles as it does bullets.",
OUT OF SIGHT,1998,Steven Soderbergh,USA Today,75,Andy Seiler,"The low-key approach probably gets closer to the soul of Leonard, but it lacks zip. As a result, Out of Sight sometimes runs out of gas.",
OUT OF SIGHT,1998,Steven Soderbergh,Film Threat,70,Ron Wells,Clooney has finally made a GOOD movie.,
OUT OF SIGHT,1998,Steven Soderbergh,TV Guide Magazine,70,Maitland McDonagh,"Steven Soderbergh's direction conjures an understated '70s vibe, striking an apparently effortless balance between grit and glamour.",
OUT OF SIGHT,1998,Steven Soderbergh,Film.com,50,Sean Means,"Soderbergh and [screenwriter] Frank like these sidekicks so much that they overwhelm the leads — a fairly easy task, since Lopez has all the police presence of a Revlon ad, while Clooney again tries to skate by on his good looks and smirking charm.",
OUT OF SIGHT,1998,Steven Soderbergh,San Francisco Examiner,50,Barbara Shulgasser,"Out of Sight needed the energetic and stylish hand of ""Get Shorty"" director Barry Sonnenfeld. Instead, a sad-sackish Soderbergh ( ""sex, lies and videotape"") comes at this material looking as if his mind was on something else, something much, much more depressing.",
OUT OF SIGHT,1998,Steven Soderbergh,Christian Science Monitor,50,David Sterritt,Much of the action seems more like warmed-over Quentin Tarantino than first-rate Steven Soderbergh.,
OUT OF SIGHT,1998,Steven Soderbergh,Chicago Reader,30,Jonathan Rosenbaum,"Out of Sight engaged me less and less, until by the end I no longer cared which of the characters lived or died. Not even the engaging Jennifer Lopez, George Clooney, Albert Brooks, Don Cheadle, and Ving Rhames or the talented secondary cast can survive the abbreviations and last-minute shoehorning their characters receive.",
ERASERHEAD,1977,David Lynch,Time Out,100,Tom Huddleston,"Eraserhead is a singular work of the imagination, a harrowing, heartbreaking plunge into the darkest recesses of the soul.",
ERASERHEAD,1977,David Lynch,The A.V. Club,100,Mike D'Angelo,See Eraserhead once and it’ll lodge itself firmly in some dank recess of your brain and refuse to vacate.,
ERASERHEAD,1977,David Lynch,Empire,100,Steve Beard,"Gothically shot in black and white and numerous shots that have influenced the next generation of directors, this is a classic, no matter how comfortable it is to watch.",
ERASERHEAD,1977,David Lynch,Chicago Tribune,100,Michael Wilmington,"What makes Eraserhead great-and still, perhaps the best of all Lynch's films? Intensity. Nightmare clarity. And perhaps also it's the single-mindedness of its vision; Lynch's complete control over this material, where, working on a shoestring, he served as director, producer, writer, editor and sound designer.",
ERASERHEAD,1977,David Lynch,The Guardian,100,Peter Bradshaw,"It's beautiful and strange, with its profoundly disturbing ambient sound design of industrial groaning, as if filmed inside some collapsing factory or gigantic dying organism.",
ERASERHEAD,1977,David Lynch,RogerEbert.com,100,Peter Sobczynski,"Here was a film that took elements that one might have encountered in other movies in the past—black humor, gore, surrealism, erotic imagery, gorgeous black-and-white cinematography and oddball performances—and presented them in such a unique and deeply personal manner that the end result was something that literally looked, sounded and felt like nothing that had ever come before it.",
ERASERHEAD,1977,David Lynch,Slant Magazine,100,Chuck Bowen,"Eraserhead is an extraordinarily raw film that’s not so much an announcement of its filmmaker’s obsessions, but a complete, intimate, and heartbreaking fulfillment of them.",
ERASERHEAD,1977,David Lynch,TV Guide Magazine,100,Staff (Not Credited),"It's a creepily sensuous film that suggests that the dark and troubling things we like to repress inhabit dresser drawers, live behind the radiator or lie under the bed. They are part of the environment.",
ERASERHEAD,1977,David Lynch,The New Yorker,90,Pauline Kael,"The slow, strange rhythm is very unsettling and takes some getting used to, but it's an altogether amazing, sunsuous film; it even has an element of science fiction and some creepy musical numbers, and the soundtrack is as original and peculiar as the imagery.",
ERASERHEAD,1977,David Lynch,Newsweek,90,Jack Kroll,"Lynch comes amazingly close to the logic of dreams and nightmares, in which successive layers of reality seem to dissolve, sucking you into a terrifying vortex. [11 Sep 1978, p.95]",
ERASERHEAD,1977,David Lynch,The New York Times,80,Manohla Dargis,"The black-and-white world of Eraserhead disturbs, seduces and even shocks with images that are alternately discomforting, even physically off-putting, and characterized by what André Breton called convulsive beauty.",
ERASERHEAD,1977,David Lynch,Chicago Reader,75,Dave Kehr,"Some of it is disturbing, some of it is embarrassingly flat, but all of it shows a degree of technical accomplishment far beyond anything else on the midnight-show circuit.",
ERASERHEAD,1977,David Lynch,The New York Times,50,Tom Buckley,A murkily pretentious shocker.,
ERASERHEAD,1977,David Lynch,The Globe and Mail (Toronto),50,,"A ghoul's dinner of undigested indelicacies pilfered from other horror feasts; the undeniable ability of the chef, director David K. Lynch, has been utilized to create a cream sauce in which the victuals cook without ever cooking together. [18 Sep 1979]",
ERASERHEAD,1977,David Lynch,Variety,40,Staff (Not Credited),"Eraserhead is a sickening bad-taste exercise made by David Lynch under the auspices of the American Film Institute. Like a lot of AFI efforts, the pic has good tech values (particularly the inventive sound mixing), but little substance or subtlety.",
LOST HIGHWAY,1997,David Lynch,Empire,80,Christopher Hemblade,This is delightfully bonkers; an eerie and edgy outpouring that makes Twin Peaks look like Moonlighting.,
LOST HIGHWAY,1997,David Lynch,Dallas Observer,80,Andy Klein,"His most thoroughly surreal work since Eraserhead, this two-hour-plus fever dream is more of one piece than Fire Walk with Me and less desperate and jokey than Wild at Heart.",
LOST HIGHWAY,1997,David Lynch,San Francisco Chronicle,75,Edward Guthmann,"It's a weird movie, in that spooky/sicko, deadpan way that Lynch's movies always are, and it's guaranteed to repel anyone who likes entertainment wrapped in tidy resolutions and optimistic fade- outs.",
LOST HIGHWAY,1997,David Lynch,Chicago Reader,70,Jonathan Rosenbaum,"Properly speaking, this isn't a movie with characters but with figures, each of them as overblown as a plastic inner tube.",
LOST HIGHWAY,1997,David Lynch,The New Yorker,70,Michael Sragow,"The first half of this 1997 movie suffers from abstraction. Still, it's a compelling erotic nightmare.",
LOST HIGHWAY,1997,David Lynch,Entertainment Weekly,67,Owen Gleiberman,"Lost Highway has scattered moments of Lynch's poetry, but the film's ultimate shock is that it isn't shocking at all.",
LOST HIGHWAY,1997,David Lynch,ReelViews,63,James Berardinelli,"Lost Highway is unusually bizarre even for this atypical director. Co-written by Barry Gifford, the film ventures deeper into the nearly psychotic supernatural than any feature Lynch has previous overseen.",
LOST HIGHWAY,1997,David Lynch,The New York Times,60,Janet Maslin,"Lost Highway, an elaborate hallucination that could never be mistaken for the work of anyone else, finds Mr. Lynch echoing the perversity of ""Blue Velvet,"" the earlier film of his that this most closely resembles.",
LOST HIGHWAY,1997,David Lynch,Variety,60,Todd McCarthy,"Although uneven and too deliberately obscure in meaning to be entirely satisfying, result remains sufficiently intriguing and startling to bring many of Lynch's old fans back on board for this careening ride.",
LOST HIGHWAY,1997,David Lynch,Washington Post,60,Desson Thomson,"In Lost Highway, David Lynch dabbles in spooky, chilly implication and a sort of hip incoherence.",
LOST HIGHWAY,1997,David Lynch,Los Angeles Times,60,Kenneth Turan,"Beautifully made but emotionally empty, it exists only for the sensation of its provocative moments.",
LOST HIGHWAY,1997,David Lynch,Christian Science Monitor,50,David Sterritt,"The film actually deserves four stars for its imaginative style and astonishing suspense, zero stars for its shameless exploitation of violent shocks and loveless sensuality.",
LOST HIGHWAY,1997,David Lynch,The Globe and Mail (Toronto),50,Rick Groen,David Lynch's eye-popping imagery is buried under an avalanche of self-indulgence.,
LOST HIGHWAY,1997,David Lynch,L.A. Weekly,50,Manohla Dargis,"It's a soulless and dull bit of showmanship, but it sure sounds profound.",
LOST HIGHWAY,1997,David Lynch,Austin Chronicle,50,Marc Savlov,"Lynch, who penned the screenplay with novelist Barry Gifford (Wild at Heart), seems to be attempting to capture not just a sense of place and time (it never works -- Lost Highway is wholly, irrevocably, out of place and without any linear time or time line to speak of), but also a sense of madness.",
LOST HIGHWAY,1997,David Lynch,Newsweek,50,Jack Kroll,"In Lost Highway, reality has become a dream. But Lynch has forgotten how boring it is listening to someone else's dream.",
LOST HIGHWAY,1997,David Lynch,Chicago Sun-Times,50,Roger Ebert,"It's a shaggy ghost story, an exercise in style, a film made with a certain breezy contempt for audiences.",
LOST HIGHWAY,1997,David Lynch,Salon,50,Stephanie Zacharek,"Here, Lynch has traded some of his disturbing originality for noir formula and schticky weirdness.",
LOST HIGHWAY,1997,David Lynch,TV Guide Magazine,40,Maitland McDonagh,"A feature-length Twilight Zone episode, filtered -- not entirely successfully -- though the sensibilities of David Lynch and his Wild at Heart collaborator, Barry Gifford.",
LOST HIGHWAY,1997,David Lynch,The A.V. Club,40,Keith Phipps,"A slow, ponderous, ultimately unsuccessful exercise in cerebral nihilism.",
LOST HIGHWAY,1997,David Lynch,Slate,30,David Edelstein,"Lost Highway, David Lynch's first movie in five years, is a virtuoso symphony of bad vibes.",
THE ELEPHANT MAN,1980,David Lynch,The Telegraph,100,Martin Chilton,"Hurt is brilliant as Merrick, projecting in his anguished eyes and mournful body language a humanity past the makeup that embodies so convincingly the pain of Merrick, the original elephant man, whose rare disease was exploited by the people running a Victorian freak show.",
THE ELEPHANT MAN,1980,David Lynch,Time,100,Richard Corliss,"This is a tale of redemption and transcendence, of the hunchback of London Hospital, of the noble phantom who want to go to the opera, of Beauty and the Beast. In Treves' account, though, the Beast was a Beauty. In Lynch's hands, so is this film.",
THE ELEPHANT MAN,1980,David Lynch,TV Guide Magazine,100,Staff (Not Credited),"Hurt gives a tour de force performance, masterfully conveying emotions while unable to use his face or even much of his voice.",
THE ELEPHANT MAN,1980,David Lynch,Time Out,100,Staff (Not Credited),"A marvelous movie, shot in stunning black-and-white by Freddie Francis.",
THE ELEPHANT MAN,1980,David Lynch,Los Angeles Times,100,Kevin Thomas,David Lynch's superb and subtly ironic 1980 film reveals the shining humanity in a horribly disfigured--and horribly mistreated--young man who actually lived in England in the late 19th Century and was rescued by an enlightened Victorian physician.,
THE ELEPHANT MAN,1980,David Lynch,The Guardian,100,Peter Bradshaw,"It is an absorbing and satisfying drama, and Hurt’s Merrick is very powerful.",
THE ELEPHANT MAN,1980,David Lynch,The New Yorker,90,Richard Brody,Lynch’s powerful depiction of Merrick (played by John Hurt) moves a viewer from revulsion and fear to empathy and tenderness.,
THE ELEPHANT MAN,1980,David Lynch,Variety,90,Staff (Not Credited),"Hopkins is splendid in a subtly nuanced portrayal of a man torn between humanitarianism and qualms that his motives in introducing the Elephant Man to society are no better than those of the brutish carny. The center-piece of the film, however, is the virtuoso performance by the almost unrecognizable John Hurt.",
THE ELEPHANT MAN,1980,David Lynch,The New Yorker,90,Pauline Kael,"A very pleasurable surprise. Lighted by Freddie Francis, this film is perhaps the most beautiful example of black-and-white cinematography in about 15 years.",
THE ELEPHANT MAN,1980,David Lynch,The New York Times,90,Vincent Canby,"What we eventually see underneath this shell is not the study in dignity that Ashley Montagu wrote about, but something far more poignant, a study in genteelness that somehow supressed all rage. That is the quality that illuminates this film and makes it far more fascinating than it would be were it merely a portrait of a dignified freak. [03 Oct 1980, p.C8]",
THE ELEPHANT MAN,1980,David Lynch,Empire,80,Kim Newman,"If you thought the sweetness of The Straight Story was unprecedented in Lynchs work, look again at this earlier true-life tale of odd, everyday heroism.",
THE ELEPHANT MAN,1980,David Lynch,Newsweek,60,Jack Kroll,"The Elephant Man has great dignity, sweetness and compassion in this portrait of an unlucky monster who must fight to make other humans recognize his humanity. But it lacks dramatic punch and repeats its effects rather than developing a truly complex texture. [06 Oct 1980, p.71]",
THE ELEPHANT MAN,1980,David Lynch,Chicago Reader,50,Dave Kehr,"Despite the rich associations, the film finally makes little more of its central figure, a hideously deformed young man, than an object of pity.",
THE ELEPHANT MAN,1980,David Lynch,Chicago Sun-Times,50,Roger Ebert,"I kept asking myself what the film was really trying to say about the human condition as reflected by John Merrick, and I kept drawing blanks. The film's philosophy is this shallow: (1)Wow, the Elephant Man sure looked hideous, and (2)gosh, isn't it wonderful how he kept on in spite of everything?",
THE ELEPHANT MAN,1980,David Lynch,Washington Post,50,Gary Arnold,"A powerful period setting might have taken up the slack, but Lynch doesn't impose the past as vividly as the theme demands. Nor does he place us in a position to appreciate Merrick's fears and longings as if they were our own. [17 Oct 1980, p.C1]",
THE ELEPHANT MAN,1980,David Lynch,The Globe and Mail (Toronto),50,Jay Scott,"In David Lynch's film, the Elephant Man has become a drooling Latex monster. There is nothing wrong with Hurt's performance - it is quite moving - but there is a great deal wrong with a movie that adds insult to injury by unconscionably holding back the revelation of the make-up. [04 Oct 1980]",
THE STRAIGHT STORY,1999,David Lynch,Austin Chronicle,100,Steve Davis,Its simplicity belies an emotional complexity that will linger in your mind like a gentle dream.,
THE STRAIGHT STORY,1999,David Lynch,San Francisco Chronicle,100,Edward Guthmann,"All the actors are good, but it's Farnsworth's brilliantly simple performance that brings The Straight Story so close to greatness.",
THE STRAIGHT STORY,1999,David Lynch,Chicago Tribune,100,Michael Wilmington,"A great, haunting film; it affects us in ways we're not used to...it is capable of both lifting our hearts and chilling us to the bone.",
THE STRAIGHT STORY,1999,David Lynch,Boston Globe,100,Jay Carr,"Farnsworth's embodiment of old American values, with their combination of delicacy, reserve, and stand-alone independence, is a one-of-a-kind treasure.",
THE STRAIGHT STORY,1999,David Lynch,Charlotte Observer,100,Lawrence Toppman,The most atmospheric thing in the movie is Farnsworth's face.,
THE STRAIGHT STORY,1999,David Lynch,USA Today,100,Mike Clark,The best news the G rating has had since the ratings system was instituted in 1968.,
THE STRAIGHT STORY,1999,David Lynch,San Francisco Examiner,100,Wesley Morris,"A momentously, shockingly moving fit of shape-shifting by a filmmaker grown tired of the macabre.",
THE STRAIGHT STORY,1999,David Lynch,Philadelphia Inquirer,100,Steven Rea,"A beautiful, appropriately loping little gem about growing older, daring to take risks and follow your heart. That probably sounds corny, and The Straight Story is.",
THE STRAIGHT STORY,1999,David Lynch,Chicago Sun-Times,100,Roger Ebert,"The first time I saw The Straight Story, I focused on the foreground and liked it. The second time I focused on the background, too, and loved it.",
THE STRAIGHT STORY,1999,David Lynch,Miami Herald,100,Rene Rodriguez,"The Straight Story truly is one from the heart, and it is wonderful.",
